ROI_name,CT,MT,dCT,dMT
lh_bankssts_part1,2.83917544112,0.866008014777,-0.0180159564011,0.00577610986063
lh_bankssts_part2,2.74486893275,0.890529019218,-0.00375088610241,0.00305777920848
lh_caudalanteriorcingulate_part1,2.58893063911,0.894600306979,-0.00343675031922,3.36198949695e-05
lh_caudalmiddlefrontal_part1,2.95627886829,0.852167080784,-0.0207767187822,0.00796270808329
lh_caudalmiddlefrontal_part2,2.8833607034,0.893886429534,-0.00915756374602,0.00671207936413
lh_caudalmiddlefrontal_part3,2.7077065035,0.873133597562,-0.0150554293799,0.00592470525728
lh_caudalmiddlefrontal_part4,3.02292491418,0.879801212588,-0.012849540719,0.00749951738636
lh_cuneus_part1,2.32983781783,0.997723124851,-0.0126204818775,0.00358938830859
lh_cuneus_part2,2.29939921269,0.969678745788,-0.0127573248355,0.00399587320548
lh_entorhinal_part1,3.10760764735,0.840466616315,0.0249216576567,0.00233071473491
lh_fusiform_part1,2.80261605304,0.898836231464,-0.0199609481515,0.00356474094719
lh_fusiform_part2,2.86614828208,0.820125471243,-0.00347350474711,0.00416114009586
lh_fusiform_part3,2.7919913238,0.931827160838,-0.0162026557331,0.00513287549598
lh_fusiform_part4,2.86575672868,0.871089809257,-0.00346697633148,0.00316291571348
lh_fusiform_part5,2.87607994209,0.914798778688,-0.015426492806,0.00325352792574
lh_inferiorparietal_part1,2.75874729015,0.896012473674,-0.0145217887267,0.00416317135635
lh_inferiorparietal_part2,2.71600006303,0.934151602994,-0.0108871198264,0.00377522676421
lh_inferiorparietal_part3,2.70549361158,0.883589699505,-0.00662777176058,0.00287915776896
lh_inferiorparietal_part4,2.78081872638,0.910708656769,-0.0232057018444,0.00581818474387
lh_inferiorparietal_part5,2.59751111916,0.919649173899,-0.00262993750822,0.00238234933531
lh_inferiorparietal_part6,2.85255589128,0.89648002232,-0.0171346532108,0.00497872186778
lh_inferiorparietal_part7,2.89438403924,0.89914705021,-0.0164080491011,0.00328791655083
lh_inferiorparietal_part8,2.84260182487,0.881900654705,-0.0156130928468,0.0030934580726
lh_inferiortemporal_part1,3.14323970268,0.782972928693,-0.00147307037926,0.0048070096471
lh_inferiortemporal_part2,2.90628088069,0.882215083195,-0.00273126943594,0.00176858935313
lh_inferiortemporal_part3,3.05011604503,0.834266428081,-0.021856155505,0.00508688414384
lh_inferiortemporal_part4,3.08295356606,0.860206189536,-0.0183590233593,0.00124554759619
lh_inferiortemporal_part5,2.96243291822,0.853924427907,-0.0139519076694,0.00446413836116
lh_inferiortemporal_part6,3.04467008941,0.85341753581,-0.00759533758011,0.00349383109255
lh_isthmuscingulate_part1,2.67911637317,0.964118238495,-0.0108284242403,0.00147920266849
lh_isthmuscingulate_part2,2.48547223081,0.948082241478,-0.00636265337721,0.00124759344092
lh_lateraloccipital_part1,2.47886922212,0.998506433387,-0.0140214891294,0.0054162976829
lh_lateraloccipital_part2,2.68498194081,0.929991783796,-0.00909161159258,0.00361126619086
lh_lateraloccipital_part3,2.38345518147,0.989570881089,-0.0134640906454,0.00199266721927
lh_lateraloccipital_part4,2.78009040403,0.956964731241,-0.0207128973591,0.00476113099258
lh_lateraloccipital_part5,2.14498054574,0.993412976173,-0.00829268683875,0.0021982322059
lh_lateraloccipital_part6,2.61772737452,0.960213739707,-0.00668855147326,0.00442928972966
lh_lateraloccipital_part7,2.32933027989,0.98271655004,-0.00992921516182,0.00326393267455
lh_lateraloccipital_part9,2.60280475255,0.968763965759,-0.019962748085,0.00455866338959
lh_lateralorbitofrontal_part1,2.69282563757,0.877810113363,-0.0124855454254,0.00623162653569
lh_lateralorbitofrontal_part2,2.90851316893,0.888695143359,-0.000495147960839,0.000406372669524
lh_lateralorbitofrontal_part3,2.751661305,0.882781778111,-0.024414534557,0.00600329838546
lh_lateralorbitofrontal_part4,2.88316755893,0.855146531703,-0.0160404943536,0.00344651792518
lh_lingual_part1,2.42282426898,0.958162343661,-0.00517339693078,0.00251362571253
lh_lingual_part2,2.42916132342,0.984567655317,-0.0171357771231,0.00030028400879
lh_lingual_part3,2.4688652459,0.950048561081,-0.0123447720162,0.0028227977338
lh_lingual_part4,2.40778958171,0.979136768592,-0.0180933662951,0.00203320989808
lh_lingual_part5,2.24208172796,0.979935716186,-0.0132916486572,0.00148468601066
lh_lingual_part6,2.55750786637,0.966199274246,-0.0128832556152,0.00431786663897
lh_medialorbitofrontal_part1,2.96108105573,0.872850664965,-0.00386512064895,0.0042251812521
lh_medialorbitofrontal_part2,2.61921866466,0.888280462592,-0.0147724227774,0.00564687816209
lh_medialorbitofrontal_part3,2.60909166044,0.89217640227,-0.0235394187827,0.00682122504369
lh_middletemporal_part1,3.32495566704,0.802729491304,-0.0135883314384,0.00555479320198
lh_middletemporal_part2,3.03897219058,0.892405343152,-0.00983857424338,0.00125606774092
lh_middletemporal_part3,3.21162401032,0.793033165885,-0.010229992783,0.00477677378227
lh_middletemporal_part4,3.23415780847,0.834700829125,-0.025295207453,0.00547144583658
lh_middletemporal_part5,3.15967919999,0.818784328837,-0.0271534622725,0.00715098591481
lh_parahippocampal_part1,2.62832836715,0.880198591445,0.0146964836939,0.00229461573491
lh_parahippocampal_part2,2.49025373163,0.932520254796,-0.00848576351022,0.0022613992278
lh_paracentral_part1,2.51849675818,1.01476228139,-0.0189059012542,0.00324652171445
lh_paracentral_part2,2.89013769419,0.952390846664,-0.0211075167371,0.00552320872457
lh_paracentral_part3,2.8248333357,1.01021137859,-0.0258529135118,0.00225974737548
lh_parsopercularis_part1,2.85753850802,0.863331617964,-0.0236029057156,0.00670954101918
lh_parsopercularis_part2,2.91774905385,0.834526870895,-0.00792202618767,0.00373914995018
lh_parsopercularis_part3,2.79888275082,0.864121745516,-0.0176243577432,0.00492980577921
lh_parsorbitalis_part1,2.92511319418,0.843745870127,-0.0222693667562,0.00639461518018
lh_parstriangularis_part1,2.92299712254,0.860599181539,-0.0278192522083,0.00638216154393
lh_parstriangularis_part2,2.71044554632,0.845809856694,-0.0186677148903,0.00608255814033
lh_pericalcarine_part1,2.07385164979,0.983436718506,-0.0133392196112,-1.45447993285e-05
lh_pericalcarine_part2,2.17054583094,0.991055575821,-0.00926207491061,0.00219627086154
lh_postcentral_part1,2.02854316569,1.00326573234,-0.0163002800789,0.00328602503897
lh_postcentral_part2,3.00692908815,0.867999226582,-0.0235719906628,0.00552945713798
lh_postcentral_part3,2.27401902875,1.01689880517,-0.017710485875,0.0031475148819
lh_postcentral_part4,2.78673274618,0.896550820096,-0.00918074545896,0.00509364316764
lh_postcentral_part5,2.21581511743,1.00711505461,-0.0103522931668,0.00274665553402
lh_postcentral_part6,2.14984732875,0.964432189939,-0.0141286856737,0.00492499649523
lh_postcentral_part7,2.4793555072,0.970357867495,-0.0112254941189,0.00314079427162
lh_postcentral_part8,2.27647468734,0.977654830197,-0.019501346373,0.00473298032018
lh_posteriorcingulate_part1,2.77851553634,0.885789693624,-0.00964477996856,0.00199482466742
lh_posteriorcingulate_part2,2.31371706944,0.924481596809,-0.0108244302866,0.00195430874351
lh_precentral_part1,2.75162106681,1.05419318845,-0.0171108959645,0.0026334739321
lh_precentral_part2,2.9370824239,0.846636836511,-0.0180753332959,0.00420874682186
lh_precentral_part3,2.69520172127,1.06013647408,-0.00780464476657,0.00502747761764
lh_precentral_part4,2.9308374896,0.871908270367,-0.00820929430403,0.00542164875596
lh_precentral_part5,2.89513233613,0.970617767904,-0.0047860929993,0.005359037022
lh_precentral_part6,2.85427435802,0.978587367868,-0.00594929240393,0.00522836691984
lh_precentral_part7,2.89030071549,0.922332349343,-0.00909963409411,0.00582114495814
lh_precentral_part8,2.88190115106,0.921363120043,-0.013428083659,0.0055369069107
lh_precentral_part9,2.83064087381,0.949335362611,-0.00854931139484,0.00548458536895
lh_precuneus_part1,2.72115383553,0.919921827777,-0.010227887613,0.00192666869897
